Patch,Name,Length,Block,Connectivity,y11,y12,y13,y14,y21,y22,y23,y24,y31,y32,y33,y34,y41,y42,y43,y44
1,cla01,619,cla,10.063,1,1,NA,NA,0,0,0,NA,1,1,1,NA,1,0,1,NA
2,cla02,419,cla,5.916,1,1,NA,NA,1,1,1,NA,1,1,1,NA,0,0,0,NA
3,cla03,695,cla,10.676,1,1,NA,NA,0,0,0,NA,0,1,0,NA,1,0,0,NA
4,cla04,725,cla,11.7,1,1,NA,NA,0,1,0,NA,1,1,1,NA,1,0,1,NA
5,cla05,695,cla,11.167,0,1,NA,NA,1,0,0,NA,1,1,1,NA,0,0,1,NA
6,cla06,645,cla,10.059,0,0,NA,NA,1,1,1,NA,1,1,1,NA,0,0,0,NA
7,cla07,577,cla,8.746,0,0,NA,NA,1,1,0,NA,1,1,1,NA,1,0,1,NA
8,cla08,617,cla,9.289,NA,NA,NA,NA,NA,1,NA,NA,1,1,0,NA,0,0,0,NA
9,cro0103,2578,cro,36.182,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,NA
10,cro0405,777,cro,10.895,1,1,1,1,1,0,0,NA,0,1,0,NA,0,0,0,NA
11,cro06,565,cro,8.162,1,1,1,1,0,0,0,NA,1,1,1,NA,0,0,0,NA
12,cro0708,1924,cro,34.592,1,1,1,1,1,1,1,NA,1,1,1,NA,0,0,0,NA
13,cro0708b,1032,cro,18.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA
14,cro09,393,cro,7.792,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,NA
15,cro10,1494,cro,29.68,0,0,0,0,1,1,1,NA,0,1,1,NA,0,1,1,NA
16,cro1115,1652,cro,32.505,1,0,1,1,1,1,1,NA,1,1,1,NA,0,1,1,NA
17,cro12,371,cro,7.132,1,1,1,1,1,1,1,NA,0,0,0,NA,0,1,0,NA
18,cro13,2051,cro,38.895,NA,0,0,1,0,1,0,NA,1,1,0,NA,0,1,0,NA
