"site","y.1","y.2","y.3","date.1","date.2","date.3","snags"
1,0,0,0,-0.9,0.5,1.7,0.27962
2,0,0,NA,0.9,1.7,NA,-0.31206
3,0,0,0,-1.7,0.5,2,-0.51689
4,0,1,1,-1.1,0.9,1.34,-0.41007
5,0,0,0,-1.1,0.9,1.7,-0.53262
6,1,1,1,-0.9,0.71,1.34,0.13838
7,0,0,NA,-0.9,1.7,NA,1.15374
8,0,NA,NA,-0.9,NA,NA,-0.35907
9,0,0,NA,-0.9,1.7,NA,0.24848
10,0,0,0,-0.9,0.5,1.7,0.54076
11,1,1,1,-0.9,0.71,1.34,-0.26264
12,1,1,1,0.5,0.71,1.34,0.0456
13,0,0,NA,-0.8,0.8,NA,-0.004
14,0,1,1,-1.7,0.9,1.34,0.49596
15,0,1,1,-1.2,0.7,1.34,-0.756
16,0,0,1,0,0.8,1.8,0.72969
17,0,1,1,-0.8,0.8,1.34,0.38452
18,0,0,NA,-1.7,0.9,NA,-0.43612
19,1,1,1,0,0.71,1.34,0.29177
20,0,0,NA,-1.2,0.8,NA,-1.89787
21,1,1,1,-0.8,0.71,1.34,0.7623
22,0,1,1,-1.7,0.5,1.34,0.26578
23,0,1,1,-1.2,0.7,1.34,-0.21327
24,0,0,0,-1.2,0,0.7,-0.01669
25,1,1,1,0,0.71,1.34,0.77959
26,0,0,1,-1.7,-0.1,0.6,0.75924
27,0,1,1,0,0.7,1.34,0.65306
28,1,1,1,0,0.71,1.34,-0.81204
29,0,1,1,0.5,1.34,2.3,0.05246
30,1,1,1,-1.2,0.71,1.34,1.08508
31,0,1,1,-1.7,-0.1,1.34,-0.35486
32,1,1,1,-0.8,0.71,1.34,-0.23636
33,0,0,0,-0.8,0.9,2,0.28873
34,1,1,1,0,0.71,1.34,0.1384
35,0,1,1,-1.7,0.6,1.34,0.42283
36,1,1,1,-0.1,0.71,1.34,-0.02759
37,0,1,1,-0.8,0.9,1.34,0.73895
38,0,0,1,-0.8,0.9,2,0.62108
39,0,1,1,-0.8,1.34,2.3,0.14578
40,1,1,1,-0.8,0.71,1.34,-0.1354
41,0,0,1,-1.7,-0.1,0.6,-0.35076
42,1,1,1,-0.1,0.71,1.34,0.06121
43,0,1,1,-0.8,0.9,1.34,-0.12406
44,0,1,1,-1.5,0.1,1.34,0.80899
45,0,1,1,-1.5,0.1,1.34,0.3701
46,0,0,0,-1.7,-0.1,0.6,0.40749
47,0,0,1,-1.5,0.1,0.7,1.21413
48,0,1,1,-1.5,0.1,1.34,-0.07487
49,0,0,NA,-1.5,0.1,NA,-1.46606
50,0,1,1,-1.5,0.1,1.34,-0.43761
51,0,0,NA,-1.3,0.1,NA,-1.54514
52,0,1,1,-1.3,0.2,1.34,-0.07496
53,0,0,NA,-1.3,0.2,NA,-1.98141
54,0,1,1,-1.3,0.2,1.34,-0.52103
55,0,0,NA,-1.3,0.2,NA,-1.27965
56,0,0,NA,-1.3,0.2,NA,0.32983
57,1,1,1,0.2,0.71,1.34,0.62735
58,0,1,1,0.2,1.34,2.3,-0.22617
59,0,0,NA,0.2,2.3,NA,-0.44515
60,0,0,NA,-1.3,0.2,NA,-1.46145
61,1,1,1,-1.3,0.71,1.34,-0.07639
62,1,1,1,0.6,0.71,1.34,1.24982
63,0,0,NA,0.6,2,NA,-0.07427
64,0,NA,NA,-1.1,NA,NA,-0.1505
65,1,1,1,-0.9,0.71,1.34,0.79442
66,1,1,1,-0.1,0.71,1.34,0.68788
